user_id,preference
0,"surf, ocean"
4,"candy, unicorn, pink, cloud"
4,"soccer, sports"
2,"nature, animals, mountains"
3,"school, education, teacher, student"
4,"fish, construct, opposed, drown, left, spread, breed"
3,"background, fat, recommendation, enjoy, player"
3,"gift, fog, evening"
5,"community, hospital, ambition, internet"
0,"shark, ocean, unique"
2,"price, day, dramatic, certain, poll"
1,"humor, practical,d ecisive, laundry, platform, rider, visible"
0,"member, insight, legend, subject, nobel"
3,"flower, heat, heart"
5,"qualify, occupation, pattern, spy, hesitate"
0,"penny, bank, retailer"
5,"travel, departure, good"